OID_,Join_Count,TARGET_FID,JOIN_FID,Site,Lat,Long,Source,Elevation,D_Treeline,Original_D_Temp,Min_DT,Max_DT,Mean_DT,mat_tstat,mat_sig,mat_sig_val,mat_npts,beyer_dt,chelsa_dt,ecoclimate_dt,paleopgem_dt,worldclim30s_dt,worldclim25m_dt,ggc_dt,in_mr,MapName,Level_01,Level_02,Level_03,Countries,GMTED2010
85,0,85,-1,Danau Di Atas,1.05,100.77,Farrera et al. (1999),1535,,3 min,3,3,3,,,,,-3.9095592,-3.8875008,-3.5829811,-1.9169998,-3.5,-3.5,-4.6730003,0,,,,,,29
86,0,86,-1,Wanda wand,-2.55,121.38,Farrera et al. (1999),440,,-3 to -2,-2,-3,-2.5,,,,,-3.3161011,-2.7416668,-3.9111881,-1.75,-4,-3.7,-4.6730003,0,,,,,,530
87,1,87,48,Lake Hordorli Lake,-2.53,140.55,Farrera et al. (1999),780,,-1 to -2,-1,-2,-1.5,,,,,-2.6941299,-2.7000008,-3.2043743,-1.9080009,0.4,-3.2,-4.6730003,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",727
88,0,88,-1,unknown,29,-99,Bartlein et al. (2011),,,,-5.3571,-4.6429,-5,-14.0017,-1,-5,1,-7.0904608,-4.416666,-8.5346975,-3.2830009,-8.3999996,-8.5,-4.6730003,0,,,,,,181
89,0,89,-1,Laguna Quexil (80-1),16.91,-89.81,Farrera et al. (1999),110,,"-6,5 to-8",-6.5,-8,-7.25,,,,,-2.8305168,-2.3624992,-3.4500446,-2.2000008,-3.5,-3.5,-4.6730003,0,,,,,,134
90,0,90,-1,unknown,27,-81,Bartlein et al. (2011),,,,-3.1001,-1.0099,-2.055,-1.9663,0,0,1,-4.3566723,-1.8083324,-4.6691513,-2.6830006,-4.1999998,-4.1999998,-4.6730003,0,,,,,,6
91,0,91,-1,unknown,21,19,Bartlein et al. (2011),,,,-7.7265,-5.0735,-6.4,-4.8247,-1,-6.4,1,-4.0933199,-4.270834,-5.124856,-5.1090002,-5,-5.0999999,-4.6730003,0,,,,,,965
92,0,92,-1,Sankhu,27.68,85.4,Farrera et al. (1999),1500,,-6 to-8,-6,-8,-7,,,,,-4.7031164,-3.3208323,-3.9330454,-3.717001,-3.5999999,-3.5999999,-4.6730003,0,,,,,,1311
93,1,93,53,Daganba,26.5,105.7,Farrera et al. (1999),1335,,-6,-6,-6,-6,,,,,-3.3608742,-2.0958328,-3.4701424,-2.3829994,-2.8,-3.4000001,-4.6730003,1,South China Mountains,Eurasia,East Asia,South China Mountains,"China, Hong Kong, Taiwan, Vietnam",1459
94,1,94,53,Bihen evin Bihengyin,25.8,105.4,Farrera et al. (1999),1250,,-5 min,-5,-5,-5,,,,,-3.0927525,-1.6708336,-3.5071154,-1.9330006,-3.9000001,-3.5,-4.6730003,1,South China Mountains,Eurasia,East Asia,South China Mountains,"China, Hong Kong, Taiwan, Vietnam",758
95,0,95,-1,Mangyang (N),22,100.5,Farrera et al. (1999),1200,,"-1,5 to -3",-1.5,-3,-2.25,,,,,-3.876544,-2.6750011,-3.5556021,-1.2169991,-3.5999999,-3.5,-4.6730003,0,,,,,,1202
96,1,96,52,Nonggong Lake (TH3),22,100,Farrera et al. (1999),1170,,0,0,0,0,,,,,-3.9031181,-2.666666,-3.589344,-1.1749992,-3.4000001,-3.5,-4.6730003,1,Indochinese Peninsula,Eurasia,Southeast Asia,Indochinese Peninsula,"Bangladesh, China, India, Cambodia, Laos, Myanmar, Malaysia, Thailand, Vietnam",1045
97,0,97,-1,Ducun (827),31,120.4,Farrera et al. (1999),3,,-7 to-10,-7,-10,-8.5,,,,,,-3.1750002,-4.9413881,-6.6340008,-5.1999998,-5.1999998,-4.6730003,0,,,,,,0
98,0,98,-1,Sanshut (KS),23.1,112.8,Farrera et al. (1999),40,,-7,-7,-7,-7,,,,,-2.9677925,-2.125,-3.7229519,-2.6170006,-3.5,-3.5,-4.6730003,0,,,,,,4
99,0,99,-1,Henglan (PK 19),22.5,113.2,Farrera et al. (1999),30,,-7,-7,-7,-7,,,,,,-2.020834,-4.0801811,-2.5909996,-3.8,-3.8,-4.6730003,0,,,,,,1
100,0,100,-1,unknown,45,-123,Bartlein et al. (2011),,,,-6.2818,-3.4682,-4.875,-3.4653,-1,-4.875,1,-4.6006818,-5.8250008,-6.8744125,-4.283,-6.4000001,-6.4000001,-4.6729999,0,,,,,,50
101,0,101,-1,unknown,47,-123,Bartlein et al. (2011),,,,-9.1073,-6.5787,-7.843,-6.2034,-1,-7.843,1,-5.2954006,-6.0500007,-12.244112,-4.9500003,-13.1000004,-13,-4.6729999,0,,,,,,78
102,1,102,56,unknown,45,-121,Bartlein et al. (2011),,,,3.0703,3.7377,3.404,10.2008,1,3.404,1,-6.8213997,-6.4041672,-10.0194702,-5,-10.3000002,-8.8999996,-4.6729999,1,Intermountain West,North America,American Cordillera (North America),Intermountain West,"Canada, Mexico, United States",996
103,1,103,56,unknown,33,-109,Bartlein et al. (2011),,,,-9.0504,-7.6186,-8.3345,-11.6418,-1,-8.3345,2,-7.0586233,-5.4750004,-6.8807168,-5.7419996,-6.5,-6.6999998,-4.6730003,1,Intermountain West,North America,American Cordillera (North America),Intermountain West,"Canada, Mexico, United States",1912
104,0,104,-1,unknown,39,-93,Bartlein et al. (2011),,,,-16.9852,-15.1588,-16.072,-17.5996,-1,-16.072,1,-13.8371296,-19.229166,-17.5524197,-11.158,-17.2999992,-17.2999992,-4.6730003,0,,,,,,197
105,0,105,-1,unknown,41,-91,Bartlein et al. (2011),,,,-16.9404,-13.2136,-15.077,-8.0911,-1,-15.077,1,-14.1747799,-21.7583332,-18.4693947,-16.4840012,-18.2999992,-18.2999992,-4.6729999,0,,,,,,161
106,0,106,-1,unknown,35,-85,Bartlein et al. (2011),,,,-13.2529,-12.2601,-12.7565,-25.6998,-1,-12.7565,2,-9.526144,-8.6333342,-9.4318428,-4.467,-9.3999996,-9.3000002,-4.6729994,0,,,,,,288
107,0,107,-1,unknown,37,-85,Bartlein et al. (2011),,,,-12.2598,-10.9632,-11.6115,-17.9099,-1,-11.6115,2,-11.4187689,-12.6750002,-12.4771824,-8.8579998,-11.6999998,-11.8000002,-4.6729994,0,,,,,,285
108,0,108,-1,unknown,33,-81,Bartlein et al. (2011),,,,-4.2551,-3.7449,-4,-15.6801,-1,-4,1,-8.6181202,-3.9708328,-7.4755239,-3.6090002,-7.3000002,-7.3000002,-4.6730003,0,,,,,,40
109,0,109,-1,unknown,35,-81,Bartlein et al. (2011),,,,-16.2918,-14.7262,-15.509,-19.8122,-1,-15.509,1,-9.8913956,-5.7375011,-8.9601269,-4.4160004,-8.8999996,-9,-4.6730003,0,,,,,,161
110,0,110,-1,unknown,33,-79,Bartlein et al. (2011),,,,-15.0191,-13.5329,-14.276,-19.2114,-1,-14.276,1,-10.6161804,-3.6208324,-6.9018984,-3.6089993,,,-4.6730003,0,,,,,,0
111,0,111,-1,unknown,35,-79,Bartlein et al. (2011),,,,-16.2118,-15.0302,-15.621,-26.4404,-1,-15.621,1,-10.0956802,-5.0416679,-9.2493963,-4.3830004,-9.1999998,-9.1999998,-4.6730003,0,,,,,,63
112,0,112,-1,unknown,37,-77,Bartlein et al. (2011),,,,-15.2123,-14.7337,-14.973,-62.57,-1,-14.973,1,-11.9603338,-6.7583332,-12.6788177,-8.1590004,-12.8000002,-12.8000002,-4.6729994,0,,,,,,34
113,0,113,-1,unknown,41,-75,Bartlein et al. (2011),,,,-8.8577,-7.9023,-8.38,-17.5424,-1,-8.38,1,-21.1146107,-13.3666668,-19.6706791,-16.5089989,-19.8999996,-19.7999992,-4.6729999,0,,,,,,274
114,1,114,34,unknown,43,-7,Bartlein et al. (2011),,,,-10.9786,-5.6214,-8.3,-3.0986,-1,-8.3,1,-6.4290752,-3.5249996,-4.1031418,-7.0250001,-3.8,-4.3000002,-4.6729999,1,Southwest European Highlands,Eurasia,Europe,Southwest European Highlands,"Andorra, Spain, France, Portugal",555
115,1,115,34,unknown,37,-3,Bartlein et al. (2011),,,,-8.299,-5.901,-7.1,-5.9216,-1,-7.1,1,-5.5130191,-4.895834,-4.3176804,-5.3169994,-3.8,-4.4000001,-4.6730003,1,Southwest European Highlands,Eurasia,Europe,Southwest European Highlands,"Andorra, Spain, France, Portugal",818
116,1,116,34,unknown,43,-1,Bartlein et al. (2011),,,,-4.9112,-1.9888,-3.45,-2.3611,-1,-3.45,2,-5.7749205,-4.4291663,-4.5889149,-6.3079996,-4.3000002,-4.8000002,-4.6729999,1,Southwest European Highlands,Eurasia,Europe,Southwest European Highlands,"Andorra, Spain, France, Portugal",1232
117,0,117,-1,unknown,43,3,Bartlein et al. (2011),,,,-8.5367,-4.8633,-6.7,-3.6478,-1,-6.7,1,-5.9998732,-3.7041674,-5.2179193,-5.9160004,-5.5,-5.5,-4.6730003,0,,,,,,112
118,0,118,-1,unknown,45,3,Bartlein et al. (2011),,,,-11.5786,-6.2214,-8.9,-3.3226,-1,-8.9,1,-7.1274514,-3.9916663,-5.2393851,-7.0499997,-5.5,-5.5,-4.6729999,0,,,,,,1014
119,0,119,-1,unknown,45,5,Bartlein et al. (2011),,,,-16.1704,-11.6296,-13.9,-6.1223,-1,-13.9,1,-6.5840416,-3.979167,-5.5318527,-6.9419994,-5.8000002,-5.8000002,-4.6730003,0,,,,,,175
120,0,120,-1,unknown,47,7,Bartlein et al. (2011),,,,-12.9837,-9.6163,-11.3,-6.7114,-1,-11.3,1,-6.3161058,-4.083333,-6.346899,-8.25,-5.3000002,-6.8000002,-4.6729999,0,,,,,,423
121,0,121,-1,unknown,41,13,Bartlein et al. (2011),,,,-9.4316,-3.7684,-6.6,-2.3308,-1,-6.6,1,,-3.6000004,-5.6785955,-4.4169998,,,-4.6730003,0,,,,,,0
122,0,122,-1,unknown,41,15,Bartlein et al. (2011),,,,-7.7684,-3.4316,-5.6,-2.5825,-1,-5.6,1,-5.0590382,-3.6291666,-5.8548927,-4.342,-6.5,-6.0999999,-4.6729994,0,,,,,,392
123,0,123,-1,unknown,39,21,Bartlein et al. (2011),,,,-10.1408,-6.0592,-8.1,-3.969,-1,-8.1,1,-4.9978342,-3.0708332,-5.4530201,-4.3999996,,-5.5,-4.6730003,0,,,,,,0
124,0,124,-1,unknown,41,21,Bartlein et al. (2011),,,,-7.3939,-3.0061,-5.2,-2.3702,-1,-5.2,1,-4.9691668,-3.5250006,-5.7719455,-3.9920001,-5.8000002,-5.8000002,-4.6729999,0,,,,,,846
125,1,125,51,unknown,39,23,Bartlein et al. (2011),,,,-6.9347,-3.4653,-5.2,-2.9976,-1,-5.2,1,-4.0915794,-3.0958338,-5.6133976,-4.2420006,,-5.5,-4.6730003,1,Southeast European Highlands,Eurasia,Europe,Southeast European Highlands,"Albania, Bulgaria, Bosnia and Herzegovina, Greece, Croatia, Hungary, Italy, Macedonia, Montenegro, Romania, Serbia, Slovenia, Turkey, Kosovo",280
126,0,126,-1,unknown,41,25,Bartlein et al. (2011),,,,-7.549,-2.651,-5.1,-2.0825,-1,-5.1,1,-4.3046637,-3.2666664,-5.9358263,-4.0080004,-6.0999999,-6,-4.6729994,0,,,,,,39
127,1,127,174,unknown,37,29,Bartlein et al. (2011),,,,-3.0367,0.6367,-1.2,-0.6533,0,0,1,-4.2192907,-2.5874996,-4.9308252,-4.5249996,-4.5999999,-4.8000002,-4.6729994,1,Anatolian / Armenian Highlands,Eurasia,Western Asia,Anatolian / Armenian Highlands,"Armenia, Azerbaijan, Georgia, Greece, Iran, Iraq, Turkey",721
128,1,128,174,unknown,39,31,Bartlein et al. (2011),,,,-5.3306,-2.2694,-3.8,-2.4827,-1,-3.8,1,-4.1800599,-3.2374997,-5.131506,-4.8410006,-5.1999998,-5.4000001,-4.6729999,1,Anatolian / Armenian Highlands,Eurasia,Western Asia,Anatolian / Armenian Highlands,"Armenia, Azerbaijan, Georgia, Greece, Iran, Iraq, Turkey",1092
129,0,129,-1,unknown,47,31,Bartlein et al. (2011),,,,-10.1022,-7.6312,-8.8667,-7.1768,-1,-8.8667,3,-6.0752497,-4.4416671,-9.7334938,-4.5250001,-9.6999998,-9.8000002,-4.6729999,0,,,,,,0
130,0,130,-1,unknown,35,35,Bartlein et al. (2011),,,,-12.8602,-9.3398,-11.1,-6.3061,-1,-11.1,1,,-3.3708344,-4.1244726,-5.0170002,,,-4.6730003,0,,,,,,0
131,0,131,-1,unknown,47,39,Bartlein et al. (2011),,,,-15.1985,-11.3015,-13.25,-6.8002,-1,-13.25,2,-5.7984543,-3.9458327,-8.5967216,-5.4749999,,,-4.6729999,0,,,,,,0
132,1,132,174,unknown,41,41,Bartlein et al. (2011),,,,-9.5978,-7.5022,-8.55,-8.1596,-1,-8.55,2,-3.7352047,-6.0166664,-4.9136395,-7.75,-3.2,-4.8000002,-4.6729999,1,Anatolian / Armenian Highlands,Eurasia,Western Asia,Anatolian / Armenian Highlands,"Armenia, Azerbaijan, Georgia, Greece, Iran, Iraq, Turkey",945
133,0,133,-1,unknown,43,41,Bartlein et al. (2011),,,,-9.2682,-7.4818,-8.375,-9.376,-1,-8.375,4,-3.5544062,-4.7625008,-5.0211811,-7.1419997,-4.9000001,-4.8000002,-4.6729994,0,,,,,,6
134,1,134,68,unknown,41,45,Bartlein et al. (2011),,,,-12.7784,-9.4216,-11.1,-6.6133,-1,-11.1,2,-3.9480567,-6.4166665,-3.9910276,-8.9090004,-3.5,-4.0999999,-4.6729999,1,Caucasus Mountains,Eurasia,Western Asia,Caucasus Mountains,"Armenia, Azerbaijan, Georgia, Russia, Turkey, Caspian Sea",1398
135,1,135,38,unknown,35,47,Bartlein et al. (2011),,,,-8.0755,-5.5245,-6.8,-5.3312,-1,-6.8,1,-5.0774717,-5.9541674,-5.9309673,-7.1830006,-6.5,-6.3000002,-4.6729994,1,Iranian Plateau,Eurasia,Western Asia,Iranian Plateau,"Afghanistan, Azerbaijan, Iran, Iraq, Pakistan, Turkmenistan, Turkey, Caspian Sea",1660
136,1,136,12,unknown,39,73,Bartlein et al. (2011),,,,-8.5153,-4.4847,-6.5,-3.2253,-1,-6.5,1,-5.6457953,-7.166667,-4.8314877,-8.7250004,-6.1999998,-5.1999998,-4.6729994,1,Pamir Mountains,Eurasia,Central Asia,Pamir Mountains,"Afghanistan, China, Kyrgyzstan, Pakistan, Tajikistan",5161
137,1,137,30,unknown,41,75,Bartlein et al. (2011),,,,1.7589,2.8411,2.3,4.2502,1,2.3,2,-4.719698,-6.5500002,-4.7407198,-8.3830004,-5.0999999,-5,-4.6729999,1,Tian Shan,Eurasia,Central Asia,Tian Shan,"Afghanistan, China, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan",3054
138,1,138,18,Chabyer (ZK91-2),31.3,84.1,Farrera et al. (1999),4421,,-6,-6,-6,-6,,,,,-4.7659473,-3.6791668,-5.0951939,-5.3000002,-5.5,-5.1999998,-4.6729999,1,Tibetan Plateau,Eurasia,Central Asia,Tibetan Plateau,"China, India, Myanmar, Pakistan",4548
139,0,139,-1,unknown,37,101,Bartlein et al. (2011),,,,-6.2806,-3.2194,-4.75,-3.1034,-1,-4.75,1,-4.8856359,-4.3916664,-4.4782038,-6.7999997,-4.5,-4.5,-4.6729999,0,,,,,,3100
140,0,140,-1,unknown,47,111,Bartlein et al. (2011),,,,-9.1771,-6.7229,-7.95,-6.4784,-1,-7.95,2,-6.4657102,-6.125,-6.4807706,-8.5250006,-6.5,-6.5999999,-4.6729999,0,,,,,,1272
141,0,141,-1,Suzhou (59),31.3,120.6,Farrera et al. (1999),2,,-7.5,-7.5,-7.5,-7.5,,,,,-4.7026987,-3.1958342,-5.1414385,-6.6340008,-5.1999998,-5.1999998,-4.6730003,0,,,,,,8
142,0,142,-1,Wuhu (Zk13),31.3,118.3,Farrera et al. (1999),9.6,,-7 (-9 max),-7,-9,-8,,,,,-4.3328218,-3.9458332,-4.5740032,-6.6000004,-4.6999998,-4.8000002,-4.6730003,0,,,,,,1
143,0,143,-1,unknown,35,135,Bartlein et al. (2011),,,,-11.2362,-8.9638,-10.1,-8.8889,-1,-10.1,2,-5.6869402,-3.3166666,-7.4574056,-7.6919999,-6.6999998,-7.1999998,-4.6730003,0,,,,,,88
144,1,144,121,unknown,65,-147,Bartlein et al. (2011),,,,-4.5283,-2.2559,-3.3921,-2.9853,-1,-3.3921,2,-1.8497877,4.041666,-7.3206906,-2.6999998,-6.3000002,-6.8000002,-4.6729999,1,Alaska-Yukon Ranges,North America,American Cordillera (North America),Alaska-Yukon Ranges,"Canada, Russia, United States",206
145,0,145,-1,unknown,49,27,Bartlein et al. (2011),,,,-12.4278,-9.5056,-10.9667,-7.5057,-1,-10.9667,3,-6.8436165,-8.083334,-10.6811209,-6.2909999,-10.8000002,-10.6999998,-4.6729999,0,,,,,,310
146,0,146,-1,unknown,57,37,Bartlein et al. (2011),,,,-13.8174,-10.6826,-12.25,-7.8154,-1,-12.25,2,-11.2155819,-14.1541672,-16.4196587,-9.283,-16.2000008,-16.1000004,-4.6729999,0,,,,,,139
147,0,147,-1,unknown,57,39,Bartlein et al. (2011),,,,-13.8497,-10.1503,-12,-6.4877,-1,-12,2,-10.5325832,-13.6374998,-15.6296902,-8.283,-15.1999998,-15.3000002,-4.6729999,0,,,,,,127
148,0,148,-1,unknown,59,39,Bartlein et al. (2011),,,,-11.7298,-7.6702,-9.7,-4.7787,-1,-9.7,2,-12.6530437,-13.4750004,-17.7708759,-10.2080002,-17.5,-17.5,-4.6729999,0,,,,,,162
149,0,149,-1,unknown,57,41,Bartlein et al. (2011),,,,-9.0408,-4.9592,-7,-3.43,-1,-7,1,-10.4260721,-13.1833324,-14.6994648,-7.4749999,-14.6999998,-14.6999998,-4.6729999,0,,,,,,110
150,0,150,-1,unknown,55,57,Bartlein et al. (2011),,,,-5.2196,-2.9304,-4.075,-3.5603,-1,-4.075,4,-7.9275246,-7.9541669,-8.6577663,-5.559,-8.5,-8.6000004,-4.6729999,0,,,,,,183
151,0,151,-1,unknown,57,63,Bartlein et al. (2011),,,,-8.2298,-5.0702,-6.65,-4.2093,-1,-6.65,2,-9.3005018,-8.8583336,-9.8404083,-5.4920001,-9.6999998,-9.6999998,-4.6729999,0,,,,,,122
152,0,152,-1,unknown,65,65,Bartlein et al. (2011),,,,-8.3819,-4.8181,-6.6,-3.7039,-1,-6.6,3,-12.8816681,-14.7916651,-17.4651432,-8.9159994,-17.3999996,-17.3999996,-4.6729994,0,,,,,,8
153,0,153,-1,unknown,65,67,Bartlein et al. (2011),,,,-8.1004,-5.6996,-6.9,-5.7482,-1,-6.9,3,-12.92062,-14.5958338,-17.2494888,-8.9829998,-17.2000008,-17.2000008,-4.6730003,0,,,,,,60
154,0,154,-1,unknown,57,69,Bartlein et al. (2011),,,,-10.533,-6.967,-8.75,-4.9074,-1,-8.75,2,-9.5846767,-9.770834,-9.8938904,-6.4249997,-10,-10,-4.6729999,0,,,,,,73
155,0,155,-1,unknown,59,69,Bartlein et al. (2011),,,,-9.3331,-7.3069,-8.32,-8.212,-1,-8.32,5,-10.1285591,-9.8458328,-11.5477915,-6.9659996,-11.3999996,-11.3999996,-4.6729999,0,,,,,,42
156,0,156,-1,unknown,57,71,Bartlein et al. (2011),,,,-10.2636,-7.6364,-8.95,-6.8133,-1,-8.95,4,-9.6132212,-10.1624994,-9.7889252,-6.8169999,-9.6999998,-9.6999998,-4.6729999,0,,,,,,95
157,0,157,-1,unknown,53,83,Bartlein et al. (2011),,,,-12.9143,-6.4857,-9.7,-3.0178,-1,-9.7,1,-8.4942961,-8.5916672,-7.3539648,-7.6750002,-7.4000001,-7.3000002,-4.6729999,0,,,,,,240
158,0,158,-1,unknown,55,83,Bartlein et al. (2011),,,,-12.0408,-7.9592,-10,-4.9,-1,-10,1,-8.9335766,-9.104167,-8.3186626,-7.9840002,-8.1999998,-8.3000002,-4.6729999,0,,,,,,128
159,0,159,-1,unknown,59,83,Bartlein et al. (2011),,,,-10.6976,-7.7024,-9.2,-6.1433,-1,-9.2,3,-9.7823162,-9.2624998,-10.7928133,-8.7840004,-10.6999998,-10.6999998,-4.6729999,0,,,,,,97
160,0,160,-1,unknown,57,85,Bartlein et al. (2011),,,,-5.3592,-3.7158,-4.5375,-5.5223,-1,-4.5375,8,-9.1809072,-8.8374996,-9.218235,-8.3840008,-9.3000002,-9.3000002,-4.6729999,0,,,,,,153
161,0,161,-1,unknown,53,87,Bartlein et al. (2011),,,,-4.6077,-1.6923,-3.15,-2.1609,-1,-3.15,2,-7.5416355,-8.1749992,-6.5950794,-7.783,-6.8000002,-6.5,-4.6729999,0,,,,,,355
162,1,162,33,unknown,49,89,Bartlein et al. (2011),,,,-6.6809,-3.4191,-5.05,-3.0964,-1,-5.05,2,-5.8454752,-8.729167,-6.0780058,-8.316,-6.3000002,-6.3000002,-4.6729999,1,Altai-Sayan region,Eurasia,South Siberian Mountains,Altai-Sayan region,"China, Kazakhstan, Mongolia, Russia",1878
163,1,163,140,unknown,51,99,Bartlein et al. (2011),,,,-3.9928,-0.7072,-2.35,-1.4305,0,0,2,-5.9701786,-7.9666667,-6.1703963,-7.8579998,-6,-6.1999998,-4.6729999,1,Mongolian Highlands,Eurasia,South Siberian Mountains,Mongolian Highlands,"Mongolia, Russia",2135
164,0,164,-1,unknown,69,-161,Bartlein et al. (2011),,,,1.2229,3.4953,2.3591,2.0763,1,2.3591,2,-5.0361757,1.9125004,-7.800745,-12.2329988,-6.9000001,-7,-4.6729994,0,,,,,,319
165,1,165,121,unknown,67,-157,Bartlein et al. (2011),,,,-4.1465,-1.8741,-3.0103,-2.6494,-1,-3.0103,2,-1.6849508,3.1499999,-5.7007017,-8.4419994,-5.1999998,-5.1999998,-4.6729994,1,Alaska-Yukon Ranges,North America,American Cordillera (North America),Alaska-Yukon Ranges,"Canada, Russia, United States",617
166,1,166,121,unknown,67,-153,Bartlein et al. (2011),,,,-5.5388,-3.2664,-4.4026,-3.8747,-1,-4.4026,2,-2.0876236,4.25,-6.6318703,-6.999999,-6.4000001,-6.5999999,-4.6729999,1,Alaska-Yukon Ranges,North America,American Cordillera (North America),Alaska-Yukon Ranges,"Canada, Russia, United States",421
167,1,167,121,unknown,67,-149,Bartlein et al. (2011),,,,12.2517,14.5241,13.3879,11.7826,1,13.3879,2,-2.2530518,2.5333338,-7.8307915,-5.5909996,-8,-7.9000001,-4.6729994,1,Alaska-Yukon Ranges,North America,American Cordillera (North America),Alaska-Yukon Ranges,"Canada, Russia, United States",970
168,0,168,-1,unknown,67,-143,Bartlein et al. (2011),,,,6.6739,9.4589,8.0664,5.7929,1,8.0664,3,-2.5364361,2.320833,-8.431015,-3.8909998,-8.6000004,-8.6999998,-4.6729999,0,,,,,,195
169,0,169,-1,unknown,69,-139,Bartlein et al. (2011),,,,-1.8431,-0.1555,-0.9993,-1.1843,0,0,3,-6.2452641,0.4125004,-8.986413,-4.6079998,-7.9000001,-7.9000001,-4.6729994,0,,,,,,203
170,1,170,86,unknown,69,19,Bartlein et al. (2011),,,,-10.6398,-4.1602,-7.4,-2.2841,-1,-7.4,1,-17.0359478,-11.9083338,-19.2294064,-19.8330002,-18.7000008,-18.8999996,-4.6729999,1,North European Highlands,Eurasia,Europe,North European Highlands,"Finland, Norway, Russia, Sweden",85
171,0,171,-1,unknown,67,65,Bartlein et al. (2011),,,,-8.4687,-5.1979,-6.8333,-4.1783,-1,-6.8333,3,-13.8632641,-17.0625,-18.6251984,-9.4580002,-18.5,-18.5,-4.6729999,0,,,,,,180
172,0,172,-1,unknown,67,71,Bartlein et al. (2011),,,,-7.1815,-4.1519,-5.6667,-3.741,-1,-5.6667,3,-13.8776226,-15.9874992,-17.8692398,-9.4659996,-17.8999996,-17.8999996,-4.6730003,0,,,,,,21
173,0,173,-1,unknown,69,85,Bartlein et al. (2011),,,,-6.7316,-3.735,-5.2333,-3.4929,-1,-5.2333,3,-11.7038336,-14.8916655,-14.9888878,-9.8169994,-14.8999996,-14.8000002,-4.6729994,0,,,,,,98
174,0,174,-1,unknown,69,89,Bartlein et al. (2011),,,,-3.0052,-0.6948,-1.85,-1.6015,0,0,4,-10.4497366,-14.3874989,-13.1207542,-9.8909998,-12.6999998,-12.6999998,-4.6730003,0,,,,,,81
