OID_,Site,Lat,Long,Source,Elevation,D_Treeline,Original_D_Temp,Min_DT,Max_DT,Mean_DT,mat_tstat,mat_sig,mat_sig_val,mat_npts,beyer_diff_min,beyer_diff_max,beyer_diff_mean,chelsa_diff_min,chelsa_diff_max,chelsa_diff_mean,ecoclimate_diff_min,ecoclimate_diff_max,ecoclimate_diff_mean,paleopgem_diff_min,paleopgem_diff_max,paleopgem_diff_mean,worldclim30s_diff_min,worldclim30s_diff_max,worldclim30s_diff_mean,worldclim25m_diff_min,worldclim25m_diff_max,worldclim25m_diff_mean,ggc_diff_min,ggc_diff_max,ggc_diff_mean,in_mr,MapName,Level_01,Level_02,Level_03,Countries,GMTED2010
58,Lake La Yeguada,8.45,-80.85,Farrera et al. (1999),650,,-5,-5,-5,-5,,,,,-0.1387348,-0.1387348,-0.1387348,2.4708328,2.4708328,2.4708328,1.5686817,1.5686817,1.5686817,2.092001,2.092001,2.092001,1.5999999,1.5999999,1.5999999,1.5999999,1.5999999,1.5999999,0.3269997,0.3269997,0.3269997,1,Chorotega Highlands*,North America,Cordillera Centroamericana,Chorotega Highlands*,"Costa Rica, Nicaragua, Panama",630
59,San Juan Bosco,3.05,-78.45,Farrera et al. (1999),970,,-7.5,-7.5,-7.5,-7.5,,,,,,,,4.6083336,4.6083336,4.6083336,4.3536358,4.3536358,4.3536358,5.4500008,5.4500008,5.4500008,,,,,,,2.8269997,2.8269997,2.8269997,0,,,,,,0
60,Lake Surucucho (Llavicu),3.05,-78.75,Farrera et al. (1999),3180,-800,-7.5,-7.5,-7.5,-7.5,,,,,,,,4.5874996,4.5874996,4.5874996,4.488224,4.488224,4.488224,5.4500008,5.4500008,5.4500008,,,,,,,2.8269997,2.8269997,2.8269997,0,,,,,,0
61,Mera,1.48,-77.5,Farrera et al. (1999),1100,,-7.5,-7.5,-7.5,-7.5,,,,,4.0447416,4.0447416,4.0447416,4.4833336,4.4833336,4.4833336,3.9501352,3.9501352,3.9501352,5.3669996,5.3669996,5.3669996,6.6,6.6,6.6,3.8,3.8,3.8,2.8269997,2.8269997,2.8269997,1,Northern Andes,South America,Andes,Northern Andes,"Colombia, Ecuador, Peru, Venezuela",946
62,Laguna de Fuquene,5.5,-73.77,Farrera et al. (1999),2580,-1200 to -1500,-6 to -10,-6,-10,-8,,,,,2.1419868,6.1419868,4.1419868,2.9333334,6.9333334,4.9333334,2.4131994,6.4131994,4.4131994,3.8910007,7.8910007,5.8910007,2.2,6.2,4.2,2.3,6.3,4.3,1.3269997,5.3269997,3.3269997,0,,,,,,2542
63,Paramo de Agua Blanca (PABI),5,-74.16,Farrera et al. (1999),3250,-1000 min,-7 to-8,-7,-8,-7.5,,,,,2.7518797,3.7518797,3.2518797,3.9041667,4.9041667,4.4041667,3.3919678,4.3919678,3.8919678,4.8330002,5.8330002,5.3330002,5.3,6.3,5.8,3.3,4.3,3.8,2.3270001,3.3270001,2.8270001,1,Northern Andes,South America,Andes,Northern Andes,"Colombia, Ecuador, Peru, Venezuela",3299
64,La Laguna,4.91,-74.33,Farrera et al. (1999),2900,-400,-3 to-4,-3,-4,-3.5,,,,,-1.2149363,-0.2149363,-0.7149363,-0.0583334,0.9416666,0.4416666,-0.5819759,0.4180241,-0.0819759,0.8829994,1.8829994,1.3829994,-0.2,0.8,0.3,-0.7,0.3,-0.2,-1.6729994,-0.6729994,-1.1729994,1,Northern Andes,South America,Andes,Northern Andes,"Colombia, Ecuador, Peru, Venezuela",2773
65,La Laguna (2nd estimate),4.91,-74.33,Farrera et al. (1999),2900,-900 to -1100,-6 to-8,-6,-8,-7,,,,,1.7850637,3.7850637,2.7850637,2.9416666,4.9416666,3.9416666,2.4180241,4.4180241,3.4180241,3.8829994,5.8829994,4.8829994,2.8,4.8,3.8,2.3,4.3,3.3,1.3270006,3.3270006,2.3270006,1,Northern Andes,South America,Andes,Northern Andes,"Colombia, Ecuador, Peru, Venezuela",2773
66,Sabana de Bogota (CUX),4.83,-74.2,Farrera et al. (1999),2560,-1200 to -1500,-8,-8,-8,-8,,,,,3.7850637,3.7850637,3.7850637,4.9916658,4.9916658,4.9916658,4.4180241,4.4180241,4.4180241,5.8829994,5.8829994,5.8829994,5,5,5,4.3,4.3,4.3,3.3269997,3.3269997,3.3269997,0,,,,,,2709
67,"Parque de los Nevados (TNP21,37,40,51)",4.5,-75.5,Farrera et al. (1999),1800-2940,-500,-6,-6,-6,-6,,,,,2.7086143,2.7086143,2.7086143,2.9083338,2.9083338,2.9083338,2.3366375,2.3366375,2.3366375,3.8579998,3.8579998,3.8579998,2.3,2.3,2.3,2.0999999,2.0999999,2.0999999,1.3270001,1.3270001,1.3270001,1,Northern Andes,South America,Andes,Northern Andes,"Colombia, Ecuador, Peru, Venezuela",3163
68,Lagoa Verde,0.27,-64.41,Farrera et al. (1999),250-300,,-5,-5,-5,-5,,,,,1.3229637,1.3229637,1.3229637,1.8583336,1.8583336,1.8583336,1.7735062,1.7735062,1.7735062,2.3500004,2.3500004,2.3500004,1.9000001,1.9000001,1.9000001,1.8,1.8,1.8,0.3269997,0.3269997,0.3269997,0,,,,,,56
69,Lake Pata,0.26,-66.68,Farrera et al. (1999),300,,-5 to -6,-5,-6,-5.5,,,,,1.2646961,2.2646961,1.7646961,0.2333336,1.2333336,0.7333336,1.5986176,2.5986176,2.0986176,2.25,3.25,2.75,1.3,2.3,1.8,1.8,2.8,2.3,0.3269997,1.3269997,0.8269997,0,,,,,,107
70,Bosumtwi (B7),6.5,-1.41,Farrera et al. (1999),100,,-3 to-4,-3,-4,-3.5,,,,,-1.0850582,-0.0850582,-0.5850582,0.4749985,1.4749985,0.9749985,-0.7588253,0.2411747,-0.2588253,0.4909992,1.4909992,0.9909992,-1,0,-0.5,-0.8,0.2,-0.3,-1.6730003,-0.6730003,-1.1730003,0,,,,,,97
71,unknown,7,-1,Bartlein et al. (2011),,,,-3.5816,-0.4184,-2,-1.2645,0,0,1,-0.7215731,-3.8847731,-2.3031731,1.060766,-2.102434,-0.520834,-0.1177484,-3.2809484,-1.6993484,0.8316,-2.3316,-0.75,-0.1184,-3.2816,-1.7,-0.1184,-3.2816,-1.7,-1.0914003,-4.2546003,-2.6730003,0,,,,,,109
72,unknown,5,9,Bartlein et al. (2011),,,,-4.1653,-2.6347,-3.4,-4.4427,-1,-3.4,1,0.5333573,-0.9972427,-0.2319427,0.7403008,-0.7902992,-0.0249992,0.4765316,-1.0540684,-0.2887684,1.5563007,0.0257007,0.7910007,0.3653,-1.1653,-0.4,0.6653,-0.8653,-0.1,-0.5077003,-2.0383003,-1.2730003,1,Cameroon line,Africa,Central African Highlands,Cameroon line,"Central African Republic, Cameroon, Equatorial Guinea, Nigeria, São Tomé and Príncipe, Chad",552
73,unknown,11,13,Bartlein et al. (2011),,,,-7.4714,-5.3286,-6.4,-5.9735,-1,-6.4,1,2.7792995,0.6364995,1.7078995,5.5172336,3.3744336,4.4458336,4.3733852,2.2305852,3.3019852,2.1544006,0.0116006,1.0830006,4.3714001,2.2286001,3.3000001,4.3714001,2.2286001,3.3000001,2.7983997,0.6555997,1.7269997,0,,,,,,418
74,Sacred Lake,0.03,37.47,Farrera et al. (1999),2400,-1000 to -1100,"-5,1 to -8,8",-5.1,-8.8,-6.95,,,,,0.9594923,4.6594923,2.8094923,2.0208336,5.7208336,3.8708336,1.8710171,5.5710171,3.7210171,2.7919994,6.4919994,4.6419994,1.9,5.6,3.75,1.9,5.6,3.75,0.4269997,4.1269997,2.2769997,1,Eastern Rift mountains,Africa,East African Highlands,Eastern Rift mountains,"Kenya, South Sudan, Tanzania, Uganda",2826
75,Sacred Lake-82,0.03,37.47,Farrera et al. (1999),2400,-700,-4.4,-4.4,-4.4,-4.4,,,,,0.2594923,0.2594923,0.2594923,1.3208336,1.3208336,1.3208336,1.1710171,1.1710171,1.1710171,2.0919994,2.0919994,2.0919994,1.2,1.2,1.2,1.2,1.2,1.2,-0.2730003,-0.2730003,-0.2730003,1,Eastern Rift mountains,Africa,East African Highlands,Eastern Rift mountains,"Kenya, South Sudan, Tanzania, Uganda",2826
76,Lake Rutundu (B),-0.17,37.37,Farrera et al. (1999),3140,-1000 to -1100,"-5,1 to -8,8",-5.1,-8.8,-6.95,,,,,1.1804596,4.8804596,3.0304596,1.6583334,5.3583334,3.5083334,1.8623348,5.5623348,3.7123348,2.725,6.425,4.575,4.1,7.8,5.95,1.8,5.5,3.65,0.4270001,4.1270001,2.2770001,1,Eastern Rift mountains,Africa,East African Highlands,Eastern Rift mountains,"Kenya, South Sudan, Tanzania, Uganda",3734
77,Muchoya Swamp,-1.28,29.8,Farrera et al. (1999),2260,,-4,-4,-4,-4,,,,,-0.8188171,-0.8188171,-0.8188171,1.083334,1.083334,1.083334,-0.0166101,-0.0166101,-0.0166101,1.8499994,1.8499994,1.8499994,-0.1999998,-0.1999998,-0.1999998,0,0,0,-0.6730003,-0.6730003,-0.6730003,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",2421
78,unknown,-1,29,Bartlein et al. (2011),,,,-1.464,0.164,-0.65,-0.7985,0,0,2,-2.7845857,-4.4125857,-3.5985857,-1.5026672,-3.1306672,-2.3166672,-2.4216573,-4.0496573,-3.2356573,-0.3939998,-2.0219998,-1.2079998,-2.7359998,-4.3639998,-3.5499998,-2.536,-4.164,-3.35,-3.2090003,-4.8370003,-4.0230003,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",1882
79,unknown,1,35,Bartlein et al. (2011),,,,-1.5224,0.7224,-0.4,-0.3564,0,0,1,-3.1997823,-5.4445823,-4.3221823,-0.1984347,-2.4432347,-1.3208347,-1.6356219,-3.8804219,-2.7580219,-0.5946006,-2.8394006,-1.7170006,-1.8776001,-4.1224001,-3.0000001,-1.8776001,-4.1224001,-3.0000001,-3.1506003,-5.3954003,-4.2730003,0,,,,,,1868
80,unknown,-1,37,Bartlein et al. (2011),,,,-4.0742,-2.4258,-3.25,-3.943,-1,-3.25,2,0.5044597,-1.1439403,-0.3197403,1.3741992,-0.2742008,0.5499992,0.8265746,-0.8218254,0.0023746,1.7241996,0.0757996,0.8999996,0.8742,-0.7742,0.05,0.6741999,-0.9742001,-0.1500001,-0.5988003,-2.2472003,-1.4230003,0,,,,,,1544
81,unknown,1,37,Bartlein et al. (2011),,,,0.8112,2.1888,1.5,2.1777,1,1.5,1,-5.7035674,-7.0811674,-6.3923674,-3.4028672,-4.7804672,-4.0916672,-4.0749615,-5.4525615,-4.7637615,-3.0031994,-4.3807994,-3.6919994,-4.0112,-5.3888,-4.7,-4.1112,-5.4888,-4.8,-5.4842003,-6.8618003,-6.1730003,0,,,,,,1223
82,Colgrain,11.43,76.63,Farrera et al. (1999),2330,,-5 to-2,-2,-5,-3.5,,,,,-0.8403301,2.1596699,0.6596699,0.354166,3.354166,1.854166,-1.4252415,1.5747585,0.0747585,-0.1170006,2.8829994,1.3829994,-1.7,1.3,-0.2,-1.4000001,1.5999999,0.0999999,-2.6730003,0.3269997,-1.1730003,1,Indian Subcontinent Ranges,Eurasia,South Asia,Indian Subcontinent Ranges,India,2270
83,Sandynallah,11.43,76.63,Farrera et al. (1999),2200,-800,-5,-5,-5,-5,,,,,2.1596699,2.1596699,2.1596699,3.354166,3.354166,3.354166,1.5747585,1.5747585,1.5747585,2.8829994,2.8829994,2.8829994,1.3,1.3,1.3,1.5999999,1.5999999,1.5999999,0.3269997,0.3269997,0.3269997,1,Indian Subcontinent Ranges,Eurasia,South Asia,Indian Subcontinent Ranges,India,2270
84,Peasim sim,2.17,98.08,Farrera et al. (1999),1450,,-3,-3,-3,-3,,,,,0.0329132,0.0329132,0.0329132,-0.1333332,-0.1333332,-0.1333332,-0.090477,-0.090477,-0.090477,1.1749992,1.1749992,1.1749992,,,,0,0,0,-1.6730003,-1.6730003,-1.6730003,0,,,,,,0
85,Danau Di Atas,1.05,100.77,Farrera et al. (1999),1535,,3 min,3,3,3,,,,,-6.9095592,-6.9095592,-6.9095592,-6.8875008,-6.8875008,-6.8875008,-6.5829811,-6.5829811,-6.5829811,-4.9169998,-4.9169998,-4.9169998,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-7.6730003,-7.6730003,-7.6730003,0,,,,,,29
86,Wanda wand,-2.55,121.38,Farrera et al. (1999),440,,-3 to -2,-2,-3,-2.5,,,,,-1.3161011,-0.3161011,-0.8161011,-0.7416668,0.2583332,-0.2416668,-1.9111881,-0.9111881,-1.4111881,0.25,1.25,0.75,-2,-1,-1.5,-1.7,-0.7,-1.2,-2.6730003,-1.6730003,-2.1730003,0,,,,,,530
87,Lake Hordorli Lake,-2.53,140.55,Farrera et al. (1999),780,,-1 to -2,-1,-2,-1.5,,,,,-1.6941299,-0.6941299,-1.1941299,-1.7000008,-0.7000008,-1.2000008,-2.2043743,-1.2043743,-1.7043743,-0.9080009,0.0919991,-0.4080009,1.4,2.4,1.9,-2.2,-1.2,-1.7,-3.6730003,-2.6730003,-3.1730003,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",727
88,unknown,29,-99,Bartlein et al. (2011),,,,-5.3571,-4.6429,-5,-14.0017,-1,-5,1,-1.7333608,-2.4475608,-2.0904608,0.940434,0.226234,0.583334,-3.1775975,-3.8917975,-3.5346975,2.0740991,1.3598991,1.7169991,-3.0428996,-3.7570996,-3.3999996,-3.1429,-3.8571,-3.5,0.6840997,-0.0301003,0.3269997,0,,,,,,181
89,Laguna Quexil (80-1),16.91,-89.81,Farrera et al. (1999),110,,"-6,5 to-8",-6.5,-8,-7.25,,,,,3.6694832,5.1694832,4.4194832,4.1375008,5.6375008,4.8875008,3.0499554,4.5499554,3.7999554,4.2999992,5.7999992,5.0499992,3,4.5,3.75,3,4.5,3.75,1.8269997,3.3269997,2.5769997,0,,,,,,134
90,unknown,27,-81,Bartlein et al. (2011),,,,-3.1001,-1.0099,-2.055,-1.9663,0,0,1,-1.2565723,-3.3467723,-2.3016723,1.2917676,-0.7984324,0.2466676,-1.5690513,-3.6592513,-2.6141513,0.4170994,-1.6731006,-0.6280006,-1.0998998,-3.1900998,-2.1449998,-1.0998998,-3.1900998,-2.1449998,-1.5729003,-3.6631003,-2.6180003,0,,,,,,6
91,unknown,21,19,Bartlein et al. (2011),,,,-7.7265,-5.0735,-6.4,-4.8247,-1,-6.4,1,3.6331801,0.9801801,2.3066801,3.455666,0.802666,2.129166,2.601644,-0.051356,1.275144,2.6174998,-0.0355002,1.2909998,2.7265,0.0735,1.4,2.6265001,-0.0264999,1.3000001,3.0534997,0.4004997,1.7269997,0,,,,,,965
92,Sankhu,27.68,85.4,Farrera et al. (1999),1500,,-6 to-8,-6,-8,-7,,,,,1.2968836,3.2968836,2.2968836,2.6791677,4.6791677,3.6791677,2.0669546,4.0669546,3.0669546,2.282999,4.282999,3.282999,2.4000001,4.4000001,3.4000001,2.4000001,4.4000001,3.4000001,1.3269997,3.3269997,2.3269997,0,,,,,,1311
93,Daganba,26.5,105.7,Farrera et al. (1999),1335,,-6,-6,-6,-6,,,,,2.6391258,2.6391258,2.6391258,3.9041672,3.9041672,3.9041672,2.5298576,2.5298576,2.5298576,3.6170006,3.6170006,3.6170006,3.2,3.2,3.2,2.5999999,2.5999999,2.5999999,1.3269997,1.3269997,1.3269997,1,South China Mountains,Eurasia,East Asia,South China Mountains,"China, Hong Kong, Taiwan, Vietnam",1459
94,Bihen evin Bihengyin,25.8,105.4,Farrera et al. (1999),1250,,-5 min,-5,-5,-5,,,,,1.9072475,1.9072475,1.9072475,3.3291664,3.3291664,3.3291664,1.4928846,1.4928846,1.4928846,3.0669994,3.0669994,3.0669994,1.0999999,1.0999999,1.0999999,1.5,1.5,1.5,0.3269997,0.3269997,0.3269997,1,South China Mountains,Eurasia,East Asia,South China Mountains,"China, Hong Kong, Taiwan, Vietnam",758
95,Mangyang (N),22,100.5,Farrera et al. (1999),1200,,"-1,5 to -3",-1.5,-3,-2.25,,,,,-2.376544,-0.876544,-1.626544,-1.1750011,0.3249989,-0.4250011,-2.0556021,-0.5556021,-1.3056021,0.2830009,1.7830009,1.0330009,-2.0999999,-0.5999999,-1.3499999,-2,-0.5,-1.25,-3.1730003,-1.6730003,-2.4230003,0,,,,,,1202
96,Nonggong Lake (TH3),22,100,Farrera et al. (1999),1170,,0,0,0,0,,,,,-3.9031181,-3.9031181,-3.9031181,-2.666666,-2.666666,-2.666666,-3.589344,-3.589344,-3.589344,-1.1749992,-1.1749992,-1.1749992,-3.4000001,-3.4000001,-3.4000001,-3.5,-3.5,-3.5,-4.6730003,-4.6730003,-4.6730003,1,Indochinese Peninsula,Eurasia,Southeast Asia,Indochinese Peninsula,"Bangladesh, China, India, Cambodia, Laos, Myanmar, Malaysia, Thailand, Vietnam",1045
97,Ducun (827),31,120.4,Farrera et al. (1999),3,,-7 to-10,-7,-10,-8.5,,,,,,,,3.8249998,6.8249998,5.3249998,2.0586119,5.0586119,3.5586119,0.3659992,3.3659992,1.8659992,1.8000002,4.8000002,3.3000002,1.8000002,4.8000002,3.3000002,2.3269997,5.3269997,3.8269997,0,,,,,,0
98,Sanshut (KS),23.1,112.8,Farrera et al. (1999),40,,-7,-7,-7,-7,,,,,4.0322075,4.0322075,4.0322075,4.875,4.875,4.875,3.2770481,3.2770481,3.2770481,4.3829994,4.3829994,4.3829994,3.5,3.5,3.5,3.5,3.5,3.5,2.3269997,2.3269997,2.3269997,0,,,,,,4
99,Henglan (PK 19),22.5,113.2,Farrera et al. (1999),30,,-7,-7,-7,-7,,,,,,,,4.979166,4.979166,4.979166,2.9198189,2.9198189,2.9198189,4.4090004,4.4090004,4.4090004,3.2,3.2,3.2,3.2,3.2,3.2,2.3269997,2.3269997,2.3269997,0,,,,,,1
100,unknown,45,-123,Bartlein et al. (2011),,,,-6.2818,-3.4682,-4.875,-3.4653,-1,-4.875,1,1.6811182,-1.1324818,0.2743182,0.4567992,-2.3568008,-0.9500008,-0.5926125,-3.4062125,-1.9994125,1.9988,-0.8148,0.592,-0.1182001,-2.9318001,-1.5250001,-0.1182001,-2.9318001,-1.5250001,1.6088001,-1.2047999,0.2020001,0,,,,,,50
101,unknown,47,-123,Bartlein et al. (2011),,,,-9.1073,-6.5787,-7.843,-6.2034,-1,-7.843,1,3.8118994,1.2832994,2.5475994,3.0572993,0.5286993,1.7929993,-3.136812,-5.665412,-4.401112,4.1572997,1.6286997,2.8929997,-3.9927004,-6.5213004,-5.2570004,-3.8927,-6.4213,-5.157,4.4343001,1.9057001,3.1700001,0,,,,,,78
102,unknown,45,-121,Bartlein et al. (2011),,,,3.0703,3.7377,3.404,10.2008,1,3.404,1,-9.8916997,-10.5590997,-10.2253997,-9.4744672,-10.1418672,-9.8081672,-13.0897702,-13.7571702,-13.4234702,-8.0703,-8.7377,-8.404,-13.3703002,-14.0377002,-13.7040002,-11.9702996,-12.6376996,-12.3039996,-7.7432999,-8.4106999,-8.0769999,1,Intermountain West,North America,American Cordillera (North America),Intermountain West,"Canada, Mexico, United States",996
103,unknown,33,-109,Bartlein et al. (2011),,,,-9.0504,-7.6186,-8.3345,-11.6418,-1,-8.3345,2,1.9917767,0.5599767,1.2758767,3.5753996,2.1435996,2.8594996,2.1696832,0.7378832,1.4537832,3.3084004,1.8766004,2.5925004,2.5504,1.1186,1.8345,2.3504002,0.9186002,1.6345002,4.3773997,2.9455997,3.6614997,1,Intermountain West,North America,American Cordillera (North America),Intermountain West,"Canada, Mexico, United States",1912
104,unknown,39,-93,Bartlein et al. (2011),,,,-16.9852,-15.1588,-16.072,-17.5996,-1,-16.072,1,3.1480704,1.3216704,2.2348704,-2.243966,-4.070366,-3.157166,-0.5672197,-2.3936197,-1.4804197,5.8272,4.0008,4.914,-0.3147992,-2.1411992,-1.2279992,-0.3147992,-2.1411992,-1.2279992,12.3121997,10.4857997,11.3989997,0,,,,,,197
105,unknown,41,-91,Bartlein et al. (2011),,,,-16.9404,-13.2136,-15.077,-8.0911,-1,-15.077,1,2.7656201,-0.9611799,0.9022201,-4.8179332,-8.5447332,-6.6813332,-1.5289947,-5.2557947,-3.3923947,0.4563988,-3.2704012,-1.4070012,-1.3595992,-5.0863992,-3.2229992,-1.3595992,-5.0863992,-3.2229992,12.2674001,8.5406001,10.4040001,0,,,,,,161
106,unknown,35,-85,Bartlein et al. (2011),,,,-13.2529,-12.2601,-12.7565,-25.6998,-1,-12.7565,2,3.726756,2.733956,3.230356,4.6195658,3.6267658,4.1231658,3.8210572,2.8282572,3.3246572,8.7859,7.7931,8.2895,3.8529004,2.8601004,3.3565004,3.9528998,2.9600998,3.4564998,8.5799006,7.5871006,8.0835006,0,,,,,,288
107,unknown,37,-85,Bartlein et al. (2011),,,,-12.2598,-10.9632,-11.6115,-17.9099,-1,-11.6115,2,0.8410311,-0.4555689,0.1927311,-0.4152002,-1.7118002,-1.0635002,-0.2173824,-1.5139824,-0.8656824,3.4018002,2.1052002,2.7535002,0.5598002,-0.7367998,-0.0884998,0.4597998,-0.8368002,-0.1885002,7.5868006,6.2902006,6.9385006,0,,,,,,285
108,unknown,33,-81,Bartlein et al. (2011),,,,-4.2551,-3.7449,-4,-15.6801,-1,-4,1,-4.3630202,-4.8732202,-4.6181202,0.2842672,-0.2259328,0.0291672,-3.2204239,-3.7306239,-3.4755239,0.6460998,0.1358998,0.3909998,-3.0449002,-3.5551002,-3.3000002,-3.0449002,-3.5551002,-3.3000002,-0.4179003,-0.9281003,-0.6730003,0,,,,,,40
109,unknown,35,-81,Bartlein et al. (2011),,,,-16.2918,-14.7262,-15.509,-19.8122,-1,-15.509,1,6.4004044,4.8348044,5.6176044,10.5542989,8.9886989,9.7714989,7.3316731,5.7660731,6.5488731,11.8757996,10.3101996,11.0929996,7.3918004,5.8262004,6.6090004,7.2918,5.7262,6.509,11.6187997,10.0531997,10.8359997,0,,,,,,161
110,unknown,33,-79,Bartlein et al. (2011),,,,-15.0191,-13.5329,-14.276,-19.2114,-1,-14.276,1,4.4029196,2.9167196,3.6598196,11.3982676,9.9120676,10.6551676,8.1172016,6.6310016,7.3741016,11.4101007,9.9239007,10.6670007,,,,,,,10.3460997,8.8598997,9.6029997,0,,,,,,0
111,unknown,35,-79,Bartlein et al. (2011),,,,-16.2118,-15.0302,-15.621,-26.4404,-1,-15.621,1,6.1161198,4.9345198,5.5253198,11.1701321,9.9885321,10.5793321,6.9624037,5.7808037,6.3716037,11.8287996,10.6471996,11.2379996,7.0118002,5.8302002,6.4210002,7.0118002,5.8302002,6.4210002,11.5387997,10.3571997,10.9479997,0,,,,,,63
112,unknown,37,-77,Bartlein et al. (2011),,,,-15.2123,-14.7337,-14.973,-62.57,-1,-14.973,1,3.2519662,2.7733662,3.0126662,8.4539668,7.9753668,8.2146668,2.5334823,2.0548823,2.2941823,7.0532996,6.5746996,6.8139996,2.4122998,1.9336998,2.1729998,2.4122998,1.9336998,2.1729998,10.5393006,10.0607006,10.3000006,0,,,,,,34
113,unknown,41,-75,Bartlein et al. (2011),,,,-8.8577,-7.9023,-8.38,-17.5424,-1,-8.38,1,-12.2569107,-13.2123107,-12.7346107,-4.5089668,-5.4643668,-4.9866668,-10.8129791,-11.7683791,-11.2906791,-7.6512989,-8.6066989,-8.1289989,-11.0422996,-11.9976996,-11.5199996,-10.9422992,-11.8976992,-11.4199992,4.1847001,3.2293001,3.7070001,0,,,,,,274
114,unknown,43,-7,Bartlein et al. (2011),,,,-10.9786,-5.6214,-8.3,-3.0986,-1,-8.3,1,4.5495248,-0.8076752,1.8709248,7.4536004,2.0964004,4.7750004,6.8754582,1.5182582,4.1968582,3.9535999,-1.4036001,1.2749999,7.1786,1.8214,4.5,6.6785998,1.3213998,3.9999998,6.3056001,0.9484001,3.6270001,1,Southwest European Highlands,Eurasia,Europe,Southwest European Highlands,"Andorra, Spain, France, Portugal",555
115,unknown,37,-3,Bartlein et al. (2011),,,,-8.299,-5.901,-7.1,-5.9216,-1,-7.1,1,2.7859809,0.3879809,1.5869809,3.403166,1.005166,2.204166,3.9813196,1.5833196,2.7823196,2.9820006,0.5840006,1.7830006,4.499,2.101,3.3,3.8989999,1.5009999,2.6999999,3.6259997,1.2279997,2.4269997,1,Southwest European Highlands,Eurasia,Europe,Southwest European Highlands,"Andorra, Spain, France, Portugal",818
116,unknown,43,-1,Bartlein et al. (2011),,,,-4.9112,-1.9888,-3.45,-2.3611,-1,-3.45,2,-0.8637205,-3.7861205,-2.3249205,0.4820337,-2.4403663,-0.9791663,0.3222851,-2.6001149,-1.1389149,-1.3967996,-4.3191996,-2.8579996,0.6111998,-2.3112002,-0.8500002,0.1111998,-2.8112002,-1.3500002,0.2382001,-2.6841999,-1.2229999,1,Southwest European Highlands,Eurasia,Europe,Southwest European Highlands,"Andorra, Spain, France, Portugal",1232
